sample_id,domain,location,location_key,county,sample_date,compliant,bucket,norms_violation,violated_params,unmeasured_norm_params,n_measured_norm_params
349533,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-07-15 00:00:00,1,hidden_pass,True,manganese|turbidity|coliforms,nitrites|color,12
349532,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-07-08 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349132,joogivesi,Pääsküla I prk — Pääsküla I prk proovivõtukraan,pääsküla i prk pääsküla i prk proovivõtukraan,,2024-07-03 00:00:00,1,hidden_pass,True,manganese|iron,color,13
349531,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-07-01 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349530,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-06-25 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349529,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-06-17 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349528,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-06-10 00:00:00,1,hidden_pass,True,manganese|turbidity|coliforms,nitrites|color,12
349527,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-06-03 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349526,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-05-27 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
333209,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-05-21 00:00:00,1,hidden_pass,True,coliforms,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,3
333455,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-05-21 00:00:00,1,hidden_pass,True,color,e_coli|enterococci|nitrites|fluoride|manganese|coliforms,8
349525,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-05-20 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349524,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-05-13 00:00:00,1,hidden_pass,True,manganese|turbidity|coliforms,nitrites|color,12
349523,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-05-06 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349522,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-04-29 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
